Wavelength	c:/Users/Public/Halo/Exports/OtherFormats/Hynek_Natron_Set4/30174_HaloDefaultProject_HaloStandard-New Location 8-S_30174_0013.txt
885	 0.374346703290939 
886	 0.378066629171371 
887	 0.381779432296753 
888	 0.38545098900795 
889	 0.389081090688705 
890	 0.392666667699814 
891	 0.39626333117485 
892	 0.399831771850586 
893	 0.403373509645462 
894	 0.406891793012619 
895	 0.410412073135376 
896	 0.413893401622772 
897	 0.417328983545303 
898	 0.420778453350067 
899	 0.424199610948563 
900	 0.427559226751328 
901	 0.430878072977066 
902	 0.434217989444733 
903	 0.437510460615158 
904	 0.440766155719757 
905	 0.44397908449173 
906	 0.447271585464478 
907	 0.450440227985382 
908	 0.453574001789093 
909	 0.456701844930649 
910	 0.459802269935608 
911	 0.462892860174179 
912	 0.46598282456398 
913	 0.469005197286606 
914	 0.471973121166229 
915	 0.474961489439011 
916	 0.477913796901703 
917	 0.480857998132706 
918	 0.483747839927673 
919	 0.48660334944725 
920	 0.489423334598541 
921	 0.492192924022675 
922	 0.494984298944473 
923	 0.497683197259903 
924	 0.500372767448425 
925	 0.503014922142029 
926	 0.50565230846405 
927	 0.508270442485809 
928	 0.510894656181335 
929	 0.513498604297638 
930	 0.516011238098145 
931	 0.518455266952515 
932	 0.520871222019196 
933	 0.523280620574951 
934	 0.525737166404724 
935	 0.528113842010498 
936	 0.530449450016022 
937	 0.532775163650513 
938	 0.535064518451691 
939	 0.537350356578827 
940	 0.539606869220734 
941	 0.54184353351593 
942	 0.543984472751617 
943	 0.546127259731293 
944	 0.548247039318085 
945	 0.550360262393951 
946	 0.552384376525879 
947	 0.554425597190857 
948	 0.556425392627716 
949	 0.558441996574402 
950	 0.56032007932663 
951	 0.562142848968506 
952	 0.564053654670715 
953	 0.565965533256531 
954	 0.567767381668091 
955	 0.569539666175842 
956	 0.571336090564728 
957	 0.57315057516098 
958	 0.574874103069305 
959	 0.576550960540771 
960	 0.578181028366089 
961	 0.579805970191956 
962	 0.581458806991577 
963	 0.583112359046936 
964	 0.58469021320343 
965	 0.586208343505859 
966	 0.587633669376373 
967	 0.589016020298004 
968	 0.590440154075623 
969	 0.59186190366745 
970	 0.593350648880005 
971	 0.594889283180237 
972	 0.596321582794189 
973	 0.597648739814758 
974	 0.599081158638 
975	 0.600481867790222 
976	 0.60185033082962 
977	 0.603057265281677 
978	 0.604324519634247 
979	 0.605775773525238 
980	 0.607085704803467 
981	 0.608275532722473 
982	 0.609323263168335 
983	 0.610523462295532 
984	 0.611689388751984 
985	 0.612896144390106 
986	 0.613977611064911 
987	 0.61507523059845 
988	 0.616315543651581 
989	 0.617577016353607 
990	 0.618738651275635 
991	 0.619774580001831 
992	 0.620813131332397 
993	 0.621919751167297 
994	 0.623029887676239 
995	 0.624134361743927 
996	 0.62515115737915 
997	 0.626136422157288 
998	 0.62711638212204 
999	 0.628046452999115 
1000	 0.628953635692596 
1001	 0.629996657371521 
1002	 0.631106793880463 
1003	 0.632263362407684 
1004	 0.633435547351837 
1005	 0.634453892707825 
1006	 0.635393381118774 
1007	 0.63639771938324 
1008	 0.637253165245056 
1009	 0.637924671173096 
1010	 0.638766229152679 
1011	 0.639370918273926 
1012	 0.640473127365112 
1013	 0.641426503658295 
1014	 0.642499685287476 
1015	 0.643522977828979 
1016	 0.644315540790558 
1017	 0.645111560821533 
1018	 0.646014630794525 
1019	 0.646728277206421 
1020	 0.647778451442719 
1021	 0.648702025413513 
1022	 0.649506568908691 
1023	 0.650230288505554 
1024	 0.650982677936554 
1025	 0.651910662651062 
1026	 0.652559041976929 
1027	 0.653486788272858 
1028	 0.65423595905304 
1029	 0.654847145080566 
1030	 0.655534625053406 
1031	 0.656340956687927 
1032	 0.657134473323822 
1033	 0.657920598983765 
1034	 0.658901035785675 
1035	 0.659398436546326 
1036	 0.660184442996979 
1037	 0.660772442817688 
1038	 0.661451578140259 
1039	 0.662056922912598 
1040	 0.662729978561401 
1041	 0.663411438465118 
1042	 0.664090633392334 
1043	 0.664607286453247 
1044	 0.665415108203888 
1045	 0.666152060031891 
1046	 0.666900813579559 
1047	 0.667497575283051 
1048	 0.667956411838531 
1049	 0.668418824672699 
1050	 0.668883204460144 
1051	 0.669556021690369 
1052	 0.670049488544464 
1053	 0.670712351799011 
1054	 0.671080529689789 
1055	 0.671788156032562 
1056	 0.672366797924042 
1057	 0.672873139381409 
1058	 0.673422515392303 
1059	 0.673973858356476 
1060	 0.674386501312256 
1061	 0.674687564373016 
1062	 0.675119280815125 
1063	 0.675624966621399 
1064	 0.67608505487442 
1065	 0.676577210426331 
1066	 0.677204132080078 
1067	 0.677561461925507 
1068	 0.678043305873871 
1069	 0.678467810153961 
1070	 0.678868114948273 
1071	 0.679419934749603 
1072	 0.679868996143341 
1073	 0.68030720949173 
1074	 0.680568695068359 
1075	 0.68097597360611 
1076	 0.681443572044373 
1077	 0.681883871555328 
1078	 0.682413637638092 
1079	 0.682790398597717 
1080	 0.683208584785461 
1081	 0.683604061603546 
1082	 0.68404483795166 
1083	 0.684497952461243 
1084	 0.684882402420044 
1085	 0.685337960720062 
1086	 0.685689568519592 
1087	 0.686112999916077 
1088	 0.686400055885315 
1089	 0.68688976764679 
1090	 0.687400579452515 
1091	 0.687828302383423 
1092	 0.688314318656921 
1093	 0.688640356063843 
1094	 0.689022898674011 
1095	 0.689376533031464 
1096	 0.689847528934479 
1097	 0.690131902694702 
1098	 0.690503776073456 
1099	 0.69085830450058 
1100	 0.691299796104431 
1101	 0.691782474517822 
1102	 0.692142128944397 
1103	 0.692404270172119 
1104	 0.692789852619171 
1105	 0.693189442157745 
1106	 0.693672597408295 
1107	 0.693948328495026 
1108	 0.694290161132813 
1109	 0.694719731807709 
1110	 0.694981753826141 
1111	 0.695280611515045 
1112	 0.695588350296021 
1113	 0.695948660373688 
1114	 0.696250200271606 
1115	 0.696524262428284 
1116	 0.696980118751526 
1117	 0.697141587734222 
1118	 0.697482645511627 
1119	 0.69778436422348 
1120	 0.697980344295502 
1121	 0.698345243930817 
1122	 0.698605298995972 
1123	 0.6990025639534 
1124	 0.699234962463379 
1125	 0.699445188045502 
1126	 0.699684858322144 
1127	 0.699881434440613 
1128	 0.700113236904144 
1129	 0.700378358364105 
1130	 0.700557887554169 
1131	 0.700780630111694 
1132	 0.701076686382294 
1133	 0.701366782188416 
1134	 0.701606035232544 
1135	 0.701760113239288 
1136	 0.701996326446533 
1137	 0.702162802219391 
1138	 0.702422142028809 
1139	 0.702517747879028 
1140	 0.702680289745331 
1141	 0.702851414680481 
1142	 0.702962696552277 
1143	 0.703196883201599 
1144	 0.703361690044403 
1145	 0.703479468822479 
1146	 0.703587114810944 
1147	 0.70367419719696 
1148	 0.703868389129639 
1149	 0.704008936882019 
1150	 0.704104006290436 
1151	 0.704164564609528 
1152	 0.704129338264465 
1153	 0.704151749610901 
1154	 0.704301595687866 
1155	 0.704400777816772 
1156	 0.704547166824341 
1157	 0.704669177532196 
1158	 0.704749941825867 
1159	 0.704744398593903 
1160	 0.704832494258881 
1161	 0.704830944538116 
1162	 0.704736411571503 
1163	 0.704786479473114 
1164	 0.704787194728851 
1165	 0.704797685146332 
1166	 0.704893052577972 
1167	 0.704990804195404 
1168	 0.704953610897064 
1169	 0.704983055591583 
1170	 0.704927444458008 
1171	 0.70495468378067 
1172	 0.704952418804169 
1173	 0.70498925447464 
1174	 0.705000758171082 
1175	 0.704989731311798 
1176	 0.704895079135895 
1177	 0.704838454723358 
1178	 0.704684913158417 
1179	 0.704681575298309 
1180	 0.704656720161438 
1181	 0.704533159732819 
1182	 0.704519033432007 
1183	 0.704366445541382 
1184	 0.704184532165527 
1185	 0.70401269197464 
1186	 0.703936874866486 
1187	 0.703751981258392 
1188	 0.703564286231995 
1189	 0.703443825244904 
1190	 0.703285038471222 
1191	 0.703092575073242 
1192	 0.703055918216705 
1193	 0.702910780906677 
1194	 0.702730596065521 
1195	 0.7026207447052 
1196	 0.702388823032379 
1197	 0.702184319496155 
1198	 0.702079474925995 
1199	 0.701851069927216 
1200	 0.701774656772614 
1201	 0.701732754707336 
1202	 0.701788544654846 
1203	 0.701717376708984 
1204	 0.701624810695648 
1205	 0.701544463634491 
1206	 0.701390862464905 
1207	 0.701311826705933 
1208	 0.701299965381622 
1209	 0.701304495334625 
1210	 0.701236724853516 
1211	 0.701257944107056 
1212	 0.701206386089325 
1213	 0.701129674911499 
1214	 0.701113641262054 
1215	 0.701144635677338 
1216	 0.70109748840332 
1217	 0.70117324590683 
1218	 0.701204657554626 
1219	 0.701224625110626 
1220	 0.701260805130005 
1221	 0.701442241668701 
1222	 0.701496779918671 
1223	 0.701607704162598 
1224	 0.701741993427277 
1225	 0.701894462108612 
1226	 0.702073395252228 
1227	 0.702218115329742 
1228	 0.702324271202087 
1229	 0.702499151229858 
1230	 0.702669203281403 
1231	 0.702819347381592 
1232	 0.702971279621124 
1233	 0.703108727931976 
1234	 0.70330673456192 
1235	 0.70344477891922 
1236	 0.703620493412018 
1237	 0.703818142414093 
1238	 0.704003632068634 
1239	 0.704145550727844 
1240	 0.704379260540009 
1241	 0.704533457756042 
1242	 0.704691886901855 
1243	 0.704830408096313 
1244	 0.705066919326782 
1245	 0.70517897605896 
1246	 0.705373287200928 
1247	 0.705530345439911 
1248	 0.705679774284363 
1249	 0.705817222595215 
1250	 0.70590353012085 
1251	 0.7060467004776 
1252	 0.706148564815521 
1253	 0.70632404088974 
1254	 0.706476092338562 
1255	 0.706678807735443 
1256	 0.706763327121735 
1257	 0.706922173500061 
1258	 0.707064688205719 
1259	 0.707133412361145 
1260	 0.707218527793884 
1261	 0.707372069358826 
1262	 0.707448661327362 
1263	 0.707491457462311 
1264	 0.707559525966644 
1265	 0.707570254802704 
1266	 0.707594931125641 
1267	 0.707729816436768 
1268	 0.707761287689209 
1269	 0.707878530025482 
1270	 0.707963645458221 
1271	 0.707928001880646 
1272	 0.70795339345932 
1273	 0.707999408245087 
1274	 0.708111107349396 
1275	 0.708219468593597 
1276	 0.708260416984558 
1277	 0.708292782306671 
1278	 0.708304643630981 
1279	 0.708334743976593 
1280	 0.708438277244568 
1281	 0.708528101444244 
1282	 0.708632290363312 
1283	 0.708752512931824 
1284	 0.708784222602844 
1285	 0.70884245634079 
1286	 0.708890497684479 
1287	 0.708971917629242 
1288	 0.709058940410614 
1289	 0.70919543504715 
1290	 0.709340512752533 
1291	 0.709531605243683 
1292	 0.709668457508087 
1293	 0.709753215312958 
1294	 0.709810256958008 
1295	 0.709820508956909 
1296	 0.709882795810699 
1297	 0.709989726543427 
1298	 0.710108816623688 
1299	 0.710199058055878 
1300	 0.710239112377167 
1301	 0.710281908512115 
1302	 0.71029531955719 
1303	 0.710257291793823 
1304	 0.710318982601166 
1305	 0.710407257080078 
1306	 0.710451781749725 
1307	 0.710476517677307 
1308	 0.710570752620697 
1309	 0.710638046264648 
1310	 0.710679948329926 
1311	 0.710667729377747 
1312	 0.710661292076111 
1313	 0.710649132728577 
1314	 0.710704863071442 
1315	 0.710657715797424 
1316	 0.710634052753448 
1317	 0.710593581199646 
1318	 0.710517525672913 
1319	 0.710428655147552 
1320	 0.710366189479828 
1321	 0.710282206535339 
1322	 0.710260510444641 
1323	 0.710220336914063 
1324	 0.710170030593872 
1325	 0.710109174251556 
1326	 0.710023403167725 
1327	 0.709860801696777 
1328	 0.709786951541901 
1329	 0.709672212600708 
1330	 0.709528923034668 
1331	 0.709418296813965 
1332	 0.709254086017609 
1333	 0.709161818027496 
1334	 0.709000468254089 
1335	 0.708832025527954 
1336	 0.708623468875885 
1337	 0.708438336849213 
1338	 0.708219647407532 
1339	 0.708047032356262 
1340	 0.707913935184479 
1341	 0.707737326622009 
1342	 0.707519948482513 
1343	 0.707310497760773 
1344	 0.707024693489075 
1345	 0.706734538078308 
1346	 0.706389784812927 
1347	 0.706031382083893 
